mrdDt,A3122129006,precipitation,humidity,rainy,temperature,wind direction,wind speed
2020-09-01 00,1.698,0,60,0,20,90,0
2020-09-01 01,1.539,0,65,0,20,85,0
2020-09-01 02,1.677,0,65,0,21,77,1
2020-09-01 03,1.167,0,60,0,21,88,0
2020-09-01 04,1.398,0,60,0,21,92,0
2020-09-01 05,1.439,0,60,0,23,107,0
2020-09-01 06,1.045,0,60,0,23,105,0
2020-09-01 07,1.411,0,60,0,25,110,1
2020-09-01 08,1.287,0,65,0,26,110,0
2020-09-01 09,1.506,0,60,0,28,107,1
2020-09-01 10,1.861,0,60,0,29,110,2
2020-09-01 11,1.596,0,55,0,30,102,2
2020-09-01 12,1.768,0,55,0,31,100,2
2020-09-01 13,2.247,0,60,0,30,100,2
2020-09-01 14,2.508,0,60,0,30,105,2
2020-09-01 15,3.14,5,65,0.1,29,100,2
2020-09-01 16,1.898,5,70,0.2,29,88,1
2020-09-01 17,2.208,5,70,0.1,28,69,1
2020-09-01 18,1.541,5,70,0.1,28,87,1
2020-09-01 19,2.175,0,70,0,28,100,1
2020-09-01 20,2.293,0,70,0,28,91,0
2020-09-01 21,1.586,0,70,0,28,78,1
2020-09-01 22,2.118,0,70,0,27,83,1
2020-09-01 23,1.366,0,70,0,28,92,1
2020-09-02 00,1.599,0,75,0,27,59,1
2020-09-02 01,1.775,0,75,0,27,69,1
2020-09-02 02,1.57,5,75,0.1,27,62,1
2020-09-02 03,1.363,1,80,0.4,26,88,1
2020-09-02 04,1.528,1,85,0.3,26,47,1
2020-09-02 05,1.226,5,80,0.1,26,36,0
2020-09-02 06,1.407,5,80,0.2,26,41,1
2020-09-02 07,1.554,5,85,0.2,26,100,1
2020-09-02 08,1.515,5,85,0.2,26,58,1
2020-09-02 09,1.567,0,80,0,27,88,3
2020-09-02 10,1.857,0,70,0,28,74,3
2020-09-02 11,0.599,0,70,0,28,76,3
2020-09-02 12,0.605,5,70,0.1,28,81,3
2020-09-02 13,0.808,5,70,0.1,29,69,3
2020-09-02 14,0.462,1,75,0.4,28,85,6
2020-09-02 15,0.73,5,70,0.2,28,84,7
2020-09-02 16,0.967,1,85,1.6,26,76,8
2020-09-02 17,0.783,1,80,1.3,26,81,9
2020-09-02 18,1.607,1,85,1.9,26,81,10
2020-09-02 19,3.643,1,80,2.5,26,78,10
2020-09-02 20,2.72,1,85,4.8,25,81,19
2020-09-02 21,2.451,1,85,4.8,25,64,14
2020-09-02 22,1.969,1,85,5.6,25,34,12
2020-09-02 23,1.564,1,90,4.5,25,34,20
2020-09-03 00,1.705,1,85,5.1,24,1,14
2020-09-03 01,1.571,1,85,3.4,24,330,15
2020-09-03 02,1.333,1,80,0.3,24,317,14
2020-09-03 03,1.309,0,80,0,23,308,9
2020-09-03 04,1.313,5,80,0.1,23,289,6
2020-09-03 05,1.25,0,70,0,24,283,6
2020-09-03 06,0.971,0,70,0,24,267,5
2020-09-03 07,1.267,0,60,0,26,280,5
2020-09-03 08,1.138,0,55,0,27,265,5
2020-09-03 09,1.469,0,50,0,28,276,5
2020-09-03 10,1.316,0,50,0,28,278,5
2020-09-03 11,1.425,0,45,0,30,293,5
2020-09-03 12,4.142,0,40,0,30,278,4
2020-09-03 13,2.149,0,40,0,31,284,3
2020-09-03 14,2.048,0,40,0,31,283,3
2020-09-03 15,1.918,0,40,0,30,283,3
2020-09-03 16,2.288,0,45,0,29,293,3
2020-09-03 17,2.305,0,50,0,27,279,3
2020-09-03 18,2.4,0,55,0,25,277,2
2020-09-03 19,2.087,0,70,0,23,290,1
2020-09-03 20,2.115,0,70,0,22,292,1
2020-09-03 21,1.871,0,75,0,21,300,1
2020-09-03 22,2.253,0,80,0,21,301,1
2020-09-03 23,1.682,0,85,0,20,239,1
2020-09-04 00,1.644,0,85,0,19,328,0
2020-09-04 01,1.474,0,85,0,19,324,0
2020-09-04 02,1.522,0,90,0,19,332,1
2020-09-04 03,1.069,0,85,0,18,257,0
2020-09-04 04,1.015,0,90,0,18,227,0
2020-09-04 05,1.297,0,90,0,18,317,0
2020-09-04 06,0.919,0,90,0,19,241,0
2020-09-04 07,1.135,0,75,0,22,344,1
2020-09-04 08,1.442,0,65,0,25,353,0
2020-09-04 09,1.297,0,60,0,27,270,0
2020-09-04 10,1.924,0,55,0,29,93,0
2020-09-04 11,1.81,0,50,0,29,178,2
2020-09-04 12,2.586,0,45,0,30,240,1
2020-09-04 13,2.109,0,50,0,30,200,3
2020-09-04 14,2.731,0,45,0,30,233,2
2020-09-04 15,4.67,0,55,0,28,226,2
2020-09-04 16,2.609,0,55,0,28,183,3
2020-09-04 17,2.806,0,65,0,26,196,2
2020-09-04 18,1.998,0,70,0,24,196,1
2020-09-04 19,2.604,0,80,0,23,183,1
2020-09-04 20,1.852,0,80,0,23,273,0
2020-09-04 21,2.064,0,80,0,22,281,0
2020-09-04 22,1.77,0,85,0,22,305,1
2020-09-04 23,1.731,0,85,0,22,318,1
2020-09-05 00,1.638,0,85,0,22,316,1
2020-09-05 01,1.81,0,85,0,22,315,1
2020-09-05 02,1.285,0,90,0,22,321,1
2020-09-05 03,0.957,0,90,0,21,302,1
2020-09-05 04,1.07,0,90,0,21,296,0
2020-09-05 05,1.185,0,85,0,21,26,0
2020-09-05 06,0.893,0,85,0,21,327,1
2020-09-05 07,0.994,0,80,0,22,294,1
2020-09-05 08,1.492,0,80,0,23,75,1
2020-09-05 09,1.225,5,75,0.1,24,172,0
2020-09-05 10,1.597,0,60,0,24,153,1
2020-09-05 11,2.013,1,65,0.3,23,47,1
2020-09-05 12,2.43,1,70,0.6,23,131,2
2020-09-05 13,2.21,1,70,0.4,23,116,2
2020-09-05 14,2.122,1,75,0.8,22,137,0
2020-09-05 15,2.071,1,85,1.2,21,192,0
2020-09-05 16,4.028,1,85,0.3,20,107,3
2020-09-05 17,2.808,1,80,0.5,21,84,1
2020-09-05 18,2.492,1,85,0.5,20,96,1
2020-09-05 19,2.274,1,80,0.4,19,76,1
2020-09-05 20,1.777,1,85,0.7,19,98,0
2020-09-05 21,1.802,5,85,0.1,19,88,2
2020-09-05 22,2.023,1,85,0.5,19,89,3
2020-09-05 23,1.805,1,90,0.5,19,46,1
2020-09-06 00,1.248,1,90,1.4,18,8,0
2020-09-06 01,1.66,1,90,0.3,18,321,1
2020-09-06 02,1.02,1,90,0.5,19,6,0
2020-09-06 03,1.173,1,90,0.9,18,293,1
2020-09-06 04,0.887,5,90,0.1,18,295,0
2020-09-06 05,0.896,0,90,0,18,309,0
2020-09-06 06,0.918,0,90,0,19,112,0
2020-09-06 07,0.982,5,85,0.2,20,39,1
2020-09-06 08,1.104,0,85,0,21,52,0
2020-09-06 09,0.986,0,80,0,22,52,2
2020-09-06 10,1.282,5,75,0.1,22,88,1
2020-09-06 11,0.891,0,70,0,23,52,1
2020-09-06 12,1.454,0,75,0,23,45,0
2020-09-06 13,1.216,1,80,0.3,23,73,0
2020-09-06 14,1.894,1,85,0.6,23,56,1
2020-09-06 15,2.689,1,90,0.6,22,83,1
2020-09-06 16,1.971,1,90,0.3,22,39,1
2020-09-06 17,1.742,1,90,0.5,22,44,2
2020-09-06 18,1.372,1,90,0.8,22,62,1
2020-09-06 19,1.659,5,80,0.2,23,49,3
2020-09-06 20,1.817,1,80,0.7,23,28,3
2020-09-06 21,1.584,1,85,0.8,22,26,4
2020-09-06 22,1.792,1,75,0.6,24,45,3
2020-09-06 23,1.64,1,80,1,23,59,5
2020-09-07 00,1.638,1,80,1,23,51,6
2020-09-07 01,1.778,1,85,1.9,22,50,6
2020-09-07 02,1.064,1,80,1.2,22,48,7
2020-09-07 03,0.959,1,80,1.3,22,28,6
2020-09-07 04,0.983,1,85,1.3,21,6,8
2020-09-07 05,1.084,1,85,2.6,21,5,10
2020-09-07 06,0.848,1,85,2.3,20,339,11
2020-09-07 07,0.962,1,80,0.6,20,335,12
2020-09-07 08,1.007,5,80,0.1,20,330,13
2020-09-07 09,1.204,5,80,0.2,20,326,10
2020-09-07 10,0.985,0,65,0,23,323,7
2020-09-07 11,0.916,5,60,0.1,24,296,6
2020-09-07 12,1.433,0,60,0,25,274,5
2020-09-07 13,1.161,0,65,0,24,263,5
2020-09-07 14,1.354,5,80,0.1,22,259,5
2020-09-07 15,1.23,0,80,0,23,267,4
2020-09-07 16,1.01,0,70,0,23,278,6
2020-09-07 17,1.333,0,70,0,23,283,5
2020-09-07 18,0.974,0,70,0,23,267,3
2020-09-07 19,1.309,0,70,0,23,263,3
2020-09-07 20,1.004,0,75,0,23,235,3
2020-09-07 21,1.434,0,80,0,22,243,2
2020-09-07 22,1.461,0,75,0,23,270,3
2020-09-07 23,1.378,0,80,0,22,236,1
2020-09-08 00,1.431,0,90,0,21,259,1
2020-09-08 01,1.394,0,90,0,20,231,1
2020-09-08 02,1.009,0,90,0,21,230,2
2020-09-08 03,0.987,0,90,0,21,238,1
2020-09-08 04,1.23,0,95,0,20,272,1
2020-09-08 05,1.01,0,90,0,21,269,2
2020-09-08 06,0.9,0,90,0,21,229,1
2020-09-08 07,1.042,0,80,0,24,232,1
2020-09-08 08,1.783,0,70,0,26,208,1
